James Harden,4,5.31,-0.5806,5.0942,3.6631,3.3623,0.7686,3.2758,2.2228,0.9253,-3.6025,"Harden's the clear number 1 option if he stays in Houston and he's motivated, but right now his motivation is being questioned. I won't blame you for taking somebody else with the number 1 pick"
Anthony Davis,6,6.2,1.8939,2.9188,-0.2304,2.1275,1.907,0.4158,1.5144,4.3829,-1.1613,If LeBron misses time early it'll be the Anthony Davis show in LA. Has an elite fantasy game and an ever improving 3-point shot
Karl-Anthony Towns,5,8.58,1.7388,0.9264,1.9928,1.8922,2.5975,0.6911,0.4885,2.4106,-2.2042,An elite fantasy player who managed to up his three-pointers made from 1.8 to 3.3 per-game without hurting his FG%. Should be happier on the court with his close friend D'Angelo Russell on the roster
Stephen Curry,10,9.32,0.0,4.2439,2.9259,2.0679,0.2672,2.197,0.6839,-0.1461,-2.6426,"Steph is a career 47.6% shooter from the field, so the 40.2% from last season (5 game sample size) was an outlier"
Damian Lillard,7,7.47,-0.1336,4.3136,2.8107,2.4555,-0.2466,2.9162,0.5374,-0.6574,-1.6709,"Continues to return top-5 value, but is often not taken until the end of the first round"
Kawhi Leonard,23,18.57,0.7444,3.0695,0.7603,2.1809,0.8795,1.3148,2.1495,0.1461,-1.2087,"An elite per-game fantasy player. His on-going knee issues might be an issue in a compacted fantasy schedule, but he'll still be a top-8 fantasy player"
Nikola Jokic,2,3.91,2.2481,0.9192,-0.3225,1.1846,2.2811,2.697,1.0015,0.487,-2.0027,"Skinny Jokic is a baller, but cevapi remains undefeated, so we'll see how he looks coming into next season. Still a top-10 player in any format, regardless of weight"
Trae Young,11,11.95,-0.6702,3.8587,2.2117,2.1636,-0.522,3.9894,0.2687,-1.047,-2.7967,The addition of Capela means more assists. Expect another strong season as Young continues to develop into a fantasy first-round staple
Luka Doncic,3,2.78,0.3096,-0.1332,1.6012,2.5653,1.9523,3.6803,0.4885,-0.5357,-3.1404,Went from being a liability in both shooting %s in his rookie season to shooting 46.3% from FG% and 75.8% from FT% in his second season. If he can edge his FT% up a little he'll be an early to mid-first-round guy for seasons to come.
Devin Booker,16,14.65,0.7077,4.7473,0.7833,2.1385,-0.2137,2.2307,-0.0733,-0.56,-2.5952,His game keeps on getting better every season. Finished 12th in per-game value last season so if you can get him in the second-round then you've got yourself a steal
Joel Embiid,15,15.62,0.759,1.6027,-0.4377,1.7086,3.0332,0.3484,0.0977,2.4593,-1.9909,He's a top fantasy player when he's switched on. Target him in a trade when he has a stretch of lower than expected output. Still a top-15 guy
Kyrie Irving,22,23.19,0.9155,2.912,1.0828,1.8153,-0.2548,2.0003,1.0259,-0.1461,-1.185,"The talent is always going to be there, it's just a matter of whether he can stay on the court."
Giannis Antetokounmpo,1,1.44,4.1751,-4.8112,0.1152,2.6343,3.7031,1.7812,0.2687,1.1688,-2.6071,"His FT% almost dipped down to his FG% last season, but if you're drafting Giannis you're punting FT%, and he's the best fantasy player in punt FT% builds"
Paul George,26,27.09,-1.2308,2.3563,2.4881,1.7118,0.6535,0.7923,1.8564,-0.2191,-1.588,"His value is running low after a lackluster playoff performance. A much better performer during the regular season, which is what counts for fantasy basketball"
Deandre Ayton,28,30.71,3.4745,-0.1656,-1.509,0.9492,2.8318,-0.2866,-0.1954,2.6784,-0.5925,"Has the potential to be a top-25 player this season if he can up his output in any of his negative value categories (3PM, AST, or STL)"
LeBron James,8,6.89,1.6558,-2.09,0.7487,1.8859,1.2412,4.2197,0.6839,-0.0974,-2.7137,LeBron Rule 101: Don't write him off as an elite fantasy player until his body actually breaks down. Might miss games early as LA prepares for another championship run
Jimmy Butler,20,19.15,-0.148,2.6025,-0.8409,1.0983,0.7193,1.9273,2.1495,0.1461,-1.031,"Butler seems to be in a happy place with the hard-working Heat. He seems more willing to share the workload, which doesn't bode well for fantasy output. Still, somebody to target at the end of the second round"
Jayson Tatum,13,13.09,-0.2807,0.8864,1.7163,1.7369,0.9617,0.5057,1.2457,0.7792,-1.0191,"Improved his scoring from 15,7 to 23.4, and if his playoff run was anything to go by he's due for another small increase as he becomes the focus on the offensive end."
Bam Adebayo,31,26.96,3.186,-1.2828,-1.7509,0.7547,2.4619,1.5901,0.6107,2.021,-1.6235,The Bam break-out happened last season. Expect the offense to continue running through his hands as he establishes himself as a top-30 fantasy player
Kristaps Porzingis,52,54.41,-0.8369,0.5534,1.2441,1.1924,1.8865,-0.3821,-0.513,3.6037,-0.0948,"His FG% will always be an issue since almost half of his field-goal attempts are from behind the arc, but he makes up for it with his elite shot-blocking. Injuries are the only thing limiting his upside"
Jusuf Nurkic,41,51.33,1.1729,0.2686,-1.2901,0.4362,2.0509,0.59,0.8305,2.4837,-0.6873,"Will be better for the run during the resumption of the NBA season, and the starting job in Portland is his, so long as he's healthy. Should be back to 2018-19 Nurkic this season"
Kevin Durant,9,8.47,0.7605,2.4945,0.7833,1.751,0.4521,0.8597,-0.5374,0.2922,-2.2279,If players are forced to play a compact schedule then you can expect Brooklyn to be a little cautious with Durant
Nikola Vucevic,30,35.12,1.1256,0.2191,0.2765,1.0151,2.3961,0.5787,-0.0489,0.6331,0.2133,"His membership has been revoked from the 1-1-1 club (averaging 1 3-pointer, 1 steal, and 1 block), but he's working on getting it back"
Khris Middleton,39,39.65,0.5258,2.2776,1.1289,1.2128,0.6905,1.1069,0.4641,-1.047,-0.8769,"Shot 3% above his second-best FG% season, so it's questionable whether he'll be able to sustain shooting at 49.7% from the field, but he has an uber-friendly fantasy game even if he doesn't"
Bradley Beal,17,20.04,-0.5908,2.2574,1.5205,2.1322,-0.4398,1.4047,0.5618,-0.3652,-1.979,"Westbrook getting traded to Washington is going to impact Beal's usage, so expect dips across the board in points, rebounds, and assists"
